#;NAME;;P0;;;P1;;;F0;;;F1;;;AGE;BSURF;EDOT;
;;;(s);;;;;;(Hz);;;(s^-2);;;(Yr);(G);(ergs/s);
722;J1327-6400;mlc+01;0.280677974168;1.3e-11;mlc+01;3.1177E-14;4.0e-18;mlc+01;3.56280182998;1.6e-10;mlc+01;-3.9575E-13;4.0e-17;mlc+01;1.43e+05;2.99e+12;5.6e+34;
723;B1325-43;mlt+78;0.53269880337;1.3e-10;nmc81;3.014E-15;6.0e-18;nmc81;1.8772334266;5.0e-10;nmc81;-1.062E-14;3.0e-17;nmc81;2.8e+06;1.28e+12;7.9e+32;
724;B1325-49;mlt+78;1.4787213559;4.0e-10;nmc81;6.1E-16;2.0e-17;nmc81;0.67625992957;1.9e-10;nmc81;-2.79E-16;1.0e-17;nmc81;3.84e+07;9.61e+11;7.4e+30;
725;J1329+13;ttm+18;*;0;*;*;0;*;*;0;*;*;0;*;*;*;*;
726;J1329-6158;kbm+03;1.5652179638;8.0e-10;kbm+03;3.39E-14;3.0e-16;kbm+03;0.6388886552;4.0e-10;kbm+03;-1.384E-14;1.3e-16;kbm+03;7.32e+05;7.37e+12;3.5e+32;
727;J1331-5245;kjv+10;0.6481166471;2.0e-10;bbb+12;0.510E-15;9.0e-18;bbb+12;1.5429321319;5.0e-10;bbb+12;-1.21E-15;3.0e-17;bbb+12;2.01e+07;5.82e+11;7.4e+31;
728;J1332-03;kkl+15;1.10640;5.0e-05;kkl+15;*;0;*;0.90383;5.0e-05;kkl+15;*;0;*;*;*;*;
729;J1332-3032;lml+98;0.650434490647;1.7e-11;hlk+04;5.603E-16;4.0e-19;hlk+04;1.53743384519;4.0e-11;hlk+04;-1.3243E-15;9.0e-19;hlk+04;1.84e+07;6.11e+11;8.0e+31;
730;J1333-4449;jbo+09;0.345602948594;3.0e-12;jbo+09;0.00054E-15;1.9e-19;jbo+09;2.89349383178;3.0e-11;jbo+09;-4.5E-18;1.6e-18;jbo+09;1.01e+10;1.38e+10;5.2e+29;
731;J1334+10;scb+19;0.9111;0;scb+19;*;0;*;1.097574;0;scb+19;*;0;*;*;*;*;
732;J1334-5839;mld+96;0.1077182159234;2.0e-13;dsb+98;2.1596E-17;4.0e-21;dsb+98;9.283480899007;1.8e-11;dsb+98;-1.8612E-15;4.0e-19;dsb+98;7.9e+07;4.88e+10;6.8e+32;
733;J1335-3642;mld+96;0.399192;3.0e-06;mld+96;*;0;*;2.505060;1.9e-05;mld+96;*;0;*;*;*;*;
734;J1336-2522;kmk+18;0.478145482800;6.0e-12;kmk+18;0.3306E-15;5.0e-19;kmk+18;2.09141367214;3.0e-11;kmk+18;-1.446E-15;3.0e-18;kmk+18;2.29e+07;4.02e+11;1.2e+32;
735;J1336+33;ttm+18;3.0130;0;ttm18;*;0;*;0.331895;0;ttm18;*;0;*;*;*;*;
736;J1337-4441;kbj+18;1.25752;9.0e-05;kbj+18;*;0;*;0.79522;6.0e-05;kbj+18;*;0;*;*;*;*;
737;J1337-6306;hfs+04;0.207953012189;4.0e-12;hfs+04;3.558E-16;3.0e-19;hfs+04;4.80877862491;8.0e-11;hfs+04;-8.228E-15;5.0e-18;hfs+04;9.26e+06;2.75e+11;1.6e+33;
738;J1337-6423;kjb+12;0.009423406717798;1.7e-14;nbb+14;2.469E-20;1.8e-22;nbb+14;106.11873496995;1.9e-10;nbb+14;-2.78E-16;2.0e-18;nbb+14;6.05e+09;4.88e+08;1.2e+33;
739;B1334-61;jlm+92;1.23900057924;4.0e-11;lbs+20;1.37911E-14;1.0e-18;lbs+20;0.80710212469;2.0e-11;lbs+20;-8.9837E-15;6.0e-19;lbs+20;1.42e+06;4.18e+12;2.9e+32;
740;J1339-4712;jbo+09;0.1370546579332;4.0e-13;jbo+09;0.00053E-15;2.0e-20;jbo+09;7.29635909556;3.0e-11;jbo+09;-2.82E-17;1.1e-18;jbo+09;4.1e+09;8.62e+09;8.1e+30;
741;J1339-6618;kbm+03;0.55817922185;5.0e-11;kbm+03;3.5E-16;3.0e-17;kbm+03;1.79153927781;1.7e-10;kbm+03;-1.12E-15;1.0e-16;kbm+03;2.53e+07;4.47e+11;7.9e+31;
742;B1336-64;mlt+78;0.37862206628;4.0e-11;nmc81;5.0512E-15;1.6e-18;nmc81;2.6411561530;3.0e-10;nmc81;-3.5236E-14;1.2e-17;nmc81;1.19e+06;1.4e+12;3.7e+33;
743;J1341-6023;mlc+01;0.627285365870;1.6e-11;mlc+01;1.9461E-14;8.0e-18;mlc+01;1.59417077842;4.0e-11;mlc+01;-4.9459E-14;2.0e-17;mlc+01;5.11e+05;3.54e+12;3.1e+33;
744;B1338-62;mdt85;0.193339746306;1.9e-11;wmp+00;2.53107E-13;3.0e-18;wmp+00;5.1722422270;5.0e-10;wmp+00;-6.77115E-12;7.0e-17;wmp+00;1.21e+04;7.08e+12;1.4e+36;
745;J1342+2822A;hrs+07;0.002545;1.0e-06;hrs+07;*;0;*;392.93;1.6e-01;hrs+07;*;0;*;*;*;*;
746;J1342+2822B;hrs+07;0.002389420757786;1.0e-15;hrs+07;1.858E-20;4.0e-23;hrs+07;418.51147259915;1.8e-10;hrs+07;-3.254E-15;8.0e-18;hrs+07;2.04e+09;2.13e+08;5.4e+34;
747;J1342+2822C;hrs+07;0.002166;1.0e-06;hrs+07;*;0;*;461.7;3.0e-01;hrs+07;*;0;*;*;*;*;
748;J1342+2822D;hrs+07;0.00544297516;6.0e-11;hrs+07;*;0;*;183.7230504;2.0e-06;hrs+07;*;0;*;*;*;*;
749;J1343+6634;mhl+18;1.39410378554;1.0e-11;mbc+20;1.0882E-15;7.0e-19;mbc+20;0.717306710140;6.0e-12;mbc+20;-5.599E-16;4.0e-19;mbc+20;2.03e+07;1.25e+12;1.6e+31;
750;J1344-5855;ccb+20;0.252397929468;5.0e-12;ccb+20;2914.5E-18;1.7e-18;ccb+20;3.96199763646;8.0e-11;ccb+20;-4.575E-14;3.0e-17;ccb+20;1.37e+06;8.68e+11;7.2e+33;
751;J1344-6059;kbm+03;0.54010232140;6.0e-11;kbm+03;4.3E-17;4.0e-18;kbm+03;1.8515010219;3.0e-10;kbm+03;-1.47E-16;1.4e-17;kbm+03;1.99e+08;1.54e+11;1.1e+31;
752;J1345-6115;mlc+01;1.25308459010;1.8e-10;mlc+01;3.25E-15;8.0e-17;mlc+01;0.79803072187;1.1e-10;mlc+01;-2.07E-15;5.0e-17;mlc+01;6.11e+06;2.04e+12;6.5e+31;
753;J1346-4918;bbb+12;0.2996251068;2.0e-10;bbb+12;0.035E-15;3.0e-18;bbb+12;3.337504025;3.0e-09;bbb+12;-3.9E-16;4.0e-17;bbb+12;1.36e+08;1.04e+11;5.1e+31;
754;J1347-5947;mlc+01;0.609961754304;1.5e-11;mlc+01;1.4160E-14;7.0e-18;mlc+01;1.63944705212;4.0e-11;mlc+01;-3.8060E-14;1.7e-17;mlc+01;6.82e+05;2.97e+12;2.5e+33;
755;J1348-6307;mlc+01;0.9277722389;3.0e-10;mlc+01;3.79E-15;7.0e-17;mlc+01;1.0778507462;3.0e-10;mlc+01;-4.40E-15;8.0e-17;mlc+01;3.88e+06;1.9e+12;1.9e+32;
756;J1349-6130;mlc+01;0.259364764102;1.3e-11;psj+19;5.11709E-15;3.0e-20;psj+19;3.85557384197;1.9e-10;psj+19;-7.60678E-14;3.0e-19;psj+19;8.03e+05;1.17e+12;1.2e+34;
757;J1349-63;ncb+15;0.3730340;1.0e-07;ncb+15;*;0;*;2.6807208;8.0e-07;ncb+15;*;0;*;*;*;*;
758;J1350-5115;lml+98;0.295699706346;7.0e-12;lbs+20;7.57513E-16;1.8e-20;lbs+20;3.38180924275;8.0e-11;lbs+20;-8.6634E-15;2.0e-19;lbs+20;6.18e+06;4.79e+11;1.2e+33;
759;J1350-6225;cwp+17;0.1381577782128;1.2e-12;cwp+17;8.88351E-15;4.0e-20;cwp+17;7.23810134280;6.0e-11;cwp+17;-0.465408E-12;2.0e-18;cwp+17;2.46e+05;1.12e+12;1.3e+35;
760;J1352-6803;ebvb01;0.628902546380;1.6e-11;ebvb01;1.234E-15;3.0e-18;ebvb01;1.59007147571;5.0e-11;ebvb01;-3.120E-15;8.0e-18;ebvb01;8.07e+06;8.91e+11;2.0e+32;
761;J1354-6249;kbm+03;2.951938334;3.0e-09;kbm+03;1.48E-14;1.1e-15;kbm+03;0.3387604641;4.0e-10;kbm+03;-1.70E-15;1.3e-16;kbm+03;3.16e+06;6.69e+12;2.3e+31;
762;B1352-51;mlt+78;0.644304508167;1.3e-11;lbs+20;2.81191E-15;5.0e-20;lbs+20;1.55206115637;3.0e-11;lbs+20;-6.7736E-15;1.0e-19;lbs+20;3.63e+06;1.36e+12;4.2e+32;
763;J1355-5747;lfl+06;2.0386738254;4.0e-10;lfl+06;7.1E-16;9.0e-17;lfl+06;0.49051495513;8.0e-11;lfl+06;-1.72E-16;2.0e-17;lfl+06;4.52e+07;1.22e+12;3.3e+30;
764;J1355-5925;kbm+03;1.21338122674;5.0e-11;kbm+03;5.986E-15;1.1e-17;kbm+03;0.82414329311;4.0e-11;kbm+03;-4.066E-15;8.0e-18;kbm+03;3.21e+06;2.73e+12;1.3e+32;
765;J1355-6206;kbm+03;0.276603043150;1.0e-11;kbm+03;3.1E-18;6.0e-19;kbm+03;3.61528921957;1.4e-10;kbm+03;-4.1E-17;8.0e-18;kbm+03;1.41e+09;2.96e+10;5.8e+30;
766;J1356-5521;mld+96;0.507379566696;6.0e-12;dsb+98;7.2350E-16;1.0e-19;dsb+98;1.97091106075;3.0e-11;dsb+98;-2.8104E-15;4.0e-19;dsb+98;1.11e+07;6.13e+11;2.2e+32;
767;B1353-62;kac+73;0.455761;1.0e-06;jlm+92;*;0;*;2.194132;5.0e-06;jlm+92;*;0;*;*;*;*;
768;J1357-6429;lfl+06;0.166108327507;1.4e-11;lfl+06;3.601843E-13;1.4e-18;lfl+06;6.0201677725;5.0e-10;lfl+06;-1.305395E-11;5.0e-17;lfl+06;7.31e+03;7.83e+12;3.1e+36;
769;J1358-2533;mld+96;0.912971;1.0e-06;dsb+98;*;0;*;1.0953250;1.2e-06;dsb+98;*;0;*;*;*;*;
770;B1356-60;mlt+78;0.1275084662167;4.0e-13;jbv+19;6.330280E-15;1.2e-20;jbv+19;7.84261649184;2.0e-11;jbv+19;-389.3542E-15;7.0e-19;jbv+19;3.19e+05;9.09e+11;1.2e+35;
771;J1400-1431;rsm+13;0.00308423326039194;8.0e-17;skm+17;7.2333E-21;1.5e-24;skm+17;324.229691976320;9.0e-12;skm+17;-7.6040E-16;1.6e-19;skm+17;6.76e+09;1.51e+08;9.7e+33;
772;J1400+21;ttm18;*;0;*;*;0;*;*;0;*;*;0;*;*;*;*;
773;J1400-6325;rmg+10;0.0311816011;3.0e-10;rmg+10;3.890E-14;6.0e-17;rmg+10;32.0701941;4.0e-07;rmg+10;-4.001E-11;7.0e-14;rmg+10;1.27e+04;1.11e+12;5.1e+37;
774;B1358-63;mlt+78;0.84280532179;6.0e-11;lbs+20;1.68254E-14;4.0e-19;lbs+20;1.18651362793;8.0e-11;lbs+20;-23.6871E-15;5.0e-19;lbs+20;7.94e+05;3.81e+12;1.1e+33;
775;B1359-51;vl70;1.380182295;4.0e-09;lbs+20;5.413E-15;4.0e-18;lbs+20;0.724541971;3.0e-09;lbs+20;-2.842E-15;3.0e-18;lbs+20;4.04e+06;2.77e+12;8.1e+31;
776;J1403-0314;mbc+19;0.362634;0;mbc+19;*;0;*;2.757601;0;mbc+19;*;0;*;*;*;*;
777;J1403-6310;kbm+03;0.39917017693;5.0e-11;kbm+03;9E-17;2.0e-17;kbm+03;2.5051971760;4.0e-10;kbm+03;-5.6E-16;1.3e-16;kbm+03;7.03e+07;1.92e+11;5.6e+31;
778;J1403-7646;lml+98;1.3061978120;8.0e-10;ebvb01;1.204E-15;1.6e-17;ebvb01;0.7655808261;5.0e-10;ebvb01;-7.06E-16;1.0e-17;ebvb01;1.72e+07;1.27e+12;2.1e+31;
779;J1404+1159;cha03;2.65043929892;4.0e-11;mbc+20;1.3768E-15;6.0e-19;mbc+20;0.377295945018;6.0e-12;mbc+20;-1.9599E-16;9.0e-20;mbc+20;3.05e+07;1.93e+12;2.9e+30;
780;J1405-4656;btb+15;0.00760220343251;1.0e-14;btb+15;2.79E-20;4.0e-22;btb+15;131.54081035554;1.8e-10;btb+15;-4.83E-16;7.0e-18;btb+15;4.32e+09;4.66e+08;2.5e+33;
781;J1405-5641;lfl+06;0.61757468514;4.0e-11;lfl+06;1.198E-15;1.2e-17;lfl+06;1.61923735551;9.0e-11;lfl+06;-3.14E-15;3.0e-17;lfl+06;8.17e+06;8.7e+11;2.0e+32;
782;J1406-4233;kbj+18;2.34680;4.0e-05;kbj+18;*;0;*;0.426112;8.0e-06;kbj+18;*;0;*;*;*;*;
783;J1406-5806;kbm+03;0.28834924425;5.0e-11;kbm+03;6.11E-16;1.0e-17;kbm+03;3.4680167191;7.0e-10;kbm+03;-7.35E-15;1.3e-16;kbm+03;7.48e+06;4.25e+11;1.0e+33;
784;J1406-6121;mlc+01;0.213074653776;1.4e-11;mlc+01;5.4701E-14;3.0e-18;mlc+01;4.6931907774;3.0e-10;mlc+01;-1.20485E-12;5.0e-17;mlc+01;6.17e+04;3.45e+12;2.2e+35;
785;J1407-6048;mlc+01;0.49234420664;5.0e-11;mlc+01;3.156E-15;8.0e-18;mlc+01;2.03109935390;2.0e-10;mlc+01;-1.302E-14;3.0e-17;mlc+01;2.47e+06;1.26e+12;1.0e+33;
786;J1407-6153;mlc+01;0.7016149492;3.0e-10;mlc+01;8.85E-15;7.0e-17;mlc+01;1.4252832000;6.0e-10;mlc+01;-1.797E-14;1.3e-16;mlc+01;1.26e+06;2.52e+12;1.0e+33;
787;J1409-6953;bbb+12;0.5285907792;3.0e-10;bbb+12;0.84E-15;1.0e-17;bbb+12;1.8918226336;1.1e-09;bbb+12;-3.01E-15;4.0e-17;bbb+12;9.97e+06;6.74e+11;2.2e+32;
788;J1410-6132;ojk+08;0.0500519462;0;ojk+08;32E-15;0;ojk+08;19.979243;0;ojk+08;-1.277e-11;0;ojk+08;2.48e+04;1.28e+12;1.0e+37;
789;J1410-7404;eb01b;0.2787294436271;1.5e-12;eb01b;6.74E-18;9.0e-20;eb01b;3.587708521163;2.0e-11;eb01b;-8.68E-17;1.2e-18;eb01b;6.55e+08;4.39e+10;1.2e+31;
790;J1411+2551;msf+17;0.062452895517590;2.0e-15;msf+17;9.56E-20;5.1e-21;msf+17;16.0120678426887;6.0e-13;msf+17;-2.45E-17;1.4e-18;msf+17;1.04e+10;2.47e+09;1.5e+31;
791;J1412-6111;mlc+01;0.52915639797;4.0e-11;mlc+01;1.91E-15;3.0e-17;mlc+01;1.88980045187;1.3e-10;mlc+01;-6.83E-15;8.0e-17;mlc+01;4.38e+06;1.02e+12;5.1e+32;
792;J1412-6145;mlc+01;0.31525843337;1.3e-10;psj+19;9.9033E-14;4.0e-18;psj+19;3.1720007909;1.3e-09;psj+19;-99.643E-14;4.0e-17;psj+19;5.04e+04;5.65e+12;1.2e+35;
793;J1412+7922;zhi+11;0.058199071070;1.8e-11;bhe+19;3.29134E-15;3.0e-19;bhe+19;17.182404832;6.0e-09;bhe+19;-9.7172E-13;9.0e-17;bhe+19;2.8e+05;4.43e+11;6.6e+35;
794;J1413-6141;kbm+03;0.28562462018;1.6e-10;kbm+03;3.3344E-13;1.5e-16;kbm+03;3.5010987476;2.0e-09;kbm+03;-4.0872E-12;1.9e-15;kbm+03;1.36e+04;9.88e+12;5.6e+35;
795;J1413-6205;sdz+10;0.10974069969;3.0e-11;sdz+10;2.7680E-14;4.0e-18;sdz+10;9.112389504;2.0e-09;sdz+10;-2.2984E-12;3.0e-16;sdz+10;6.28e+04;1.76e+12;8.3e+35;
796;J1413-6222;mlc+01;0.29240770249;3.0e-11;mlc+01;2.229E-15;6.0e-18;mlc+01;3.4198825526;3.0e-10;mlc+01;-2.607E-14;7.0e-17;mlc+01;2.08e+06;8.17e+11;3.5e+33;
797;B1409-62;jlm+92;0.394945790784;2.0e-12;jml+95;7.4343E-15;2.0e-19;jml+95;2.531993056604;1.3e-11;jml+95;-4.76612E-14;1.3e-18;jml+95;8.42e+05;1.73e+12;4.8e+33;
798;J1414-6802;ebvb01;4.6301880619;4.0e-10;ebvb01;6.39E-15;7.0e-17;ebvb01;0.215973948926;1.9e-11;ebvb01;-2.98E-16;4.0e-18;ebvb01;1.15e+07;5.5e+12;2.5e+30;
799;J1415-6621;ebvb01;0.39247897310;5.0e-11;hfs+04;5.800E-16;1.0e-18;hfs+04;2.5479071964;3.0e-10;hfs+04;-3.765E-15;6.0e-18;hfs+04;1.07e+07;4.83e+11;3.8e+32;
800;J1416-5033;bbb+12;0.794882546;2.0e-09;bbb+12;0.12E-15;5.0e-17;bbb+12;1.258047500;4.0e-09;bbb+12;-1.9E-16;8.0e-17;bbb+12;1.05e+08;3.13e+11;9.4e+30;
801;J1416-6037;mlc+01;0.29558048193;3.0e-11;mlc+01;4.280E-15;1.5e-17;mlc+01;3.3831733187;3.0e-10;mlc+01;-4.899E-14;1.7e-16;mlc+01;1.09e+06;1.14e+12;6.5e+33;
802;J1417-4402;crr+16;0.0026642160;4.0e-10;crr+16;*;0;*;375.34494;6.0e-05;crr+16;*;0;*;*;*;*;
803;J1418-3921;mld+96;1.09680600340;2.0e-11;dsb+98;8.892E-16;3.0e-19;dsb+98;0.911738262646;1.7e-11;dsb+98;-7.392E-16;3.0e-19;dsb+98;1.95e+07;9.99e+11;2.7e+31;
804;J1418-5945;kbm+03;1.6725956812;3.0e-10;kbm+03;2.71E-16;1.7e-17;kbm+03;0.59787312095;1.1e-10;kbm+03;-9.7E-17;7.0e-18;kbm+03;9.78e+07;6.81e+11;2.3e+30;
805;J1418-6058;aaa+09c;0.110573011690;1.3e-11;rkp+11;1.69394E-13;1.0e-17;rkp+11;9.043798163;1.0e-09;rkp+11;-1.38548E-11;8.0e-16;rkp+11;1.03e+04;4.38e+12;4.9e+36;
806;B1417-54;mlt+78;0.935772204694;1.8e-11;lbs+20;2.3218E-16;7.0e-20;lbs+20;1.06863614348;2.0e-11;lbs+20;-0.26515E-15;7.0e-20;lbs+20;6.39e+07;4.72e+11;1.1e+31;
807;J1420-5625;hfs+04;0.03411713084786;1.2e-13;hfs+04;6.8E-20;1.7e-20;hfs+04;29.31078830923;1.0e-10;hfs+04;-5.8E-17;1.4e-17;hfs+04;8.01e+09;1.54e+09;6.7e+31;
808;J1420-6048;dkm+01;0.06817987659;2.0e-11;dkm+01;8.3167E-14;3.0e-18;dkm+01;14.667084337;5.0e-09;dkm+01;-1.78912E-11;7.0e-16;dkm+01;1.3e+04;2.41e+12;1.0e+37;
809;J1421-4409;kbj+18;0.00638572883816;3.0e-14;kbj+18;1.27E-20;4.0e-22;kbj+18;156.5991956978;8.0e-10;kbj+18;-3.11E-16;1.0e-17;kbj+18;7.97e+09;2.88e+08;1.9e+33;
810;J1422-6138;pga+13;0.34096785164;1.2e-10;pga+13;9.6836E-14;1.1e-17;pga+13;2.932827817;1.0e-09;pga+13;-0.83293E-12;9.0e-17;pga+13;5.58e+04;5.81e+12;9.6e+34;
811;J1423-6953;ebvb01;0.333410710172;3.0e-12;jbo+09;1.45130E-15;6.0e-20;jbo+09;2.99930377007;3.0e-11;jbo+09;-1.30556E-14;6.0e-19;jbo+09;3.64e+06;7.04e+11;1.5e+33;
812;J1424-5556;hfs+04;0.770374845874;1.8e-11;hfs+04;7.80E-16;3.0e-18;hfs+04;1.29806938188;3.0e-11;hfs+04;-1.315E-15;4.0e-18;hfs+04;1.56e+07;7.85e+11;6.7e+31;
813;J1424-56;kle+10;1.427;0;kkl+11;*;0;*;0.700771;0;kkl+11;*;0;*;*;*;*;
814;J1424-5822;kbm+03;0.36673618809;1.3e-10;lbs+20;3.9356E-15;3.0e-19;lbs+20;2.7267557238;9.0e-10;lbs+20;-29.262E-15;2.0e-18;lbs+20;1.48e+06;1.22e+12;3.1e+33;
815;J1424-6438;kbm+03;1.02350369913;9.0e-11;kbm+03;2.4E-16;7.0e-17;kbm+03;0.97703603890;9.0e-11;kbm+03;-2.3E-16;7.0e-17;kbm+03;6.76e+07;5.02e+11;8.8e+30;
816;J1425-5723;kbm+03;0.35326292024;8.0e-11;kbm+03;2.2E-17;2.0e-18;kbm+03;2.8307527983;7.0e-10;kbm+03;-1.76E-16;1.7e-17;kbm+03;2.54e+08;8.92e+10;2.0e+31;
817;J1425-5759;kbm+03;0.70786760576;4.0e-11;kbm+03;7.42E-16;1.6e-17;kbm+03;1.41269354871;8.0e-11;kbm+03;-1.48E-15;4.0e-17;kbm+03;1.51e+07;7.33e+11;8.3e+31;
818;J1425-6210;mlc+01;0.50173030987;8.0e-11;mlc+01;4.8E-16;4.0e-17;mlc+01;1.9931026297;3.0e-10;mlc+01;-1.90E-15;1.2e-16;mlc+01;1.66e+07;4.96e+11;1.5e+32;
819;J1426+52;scb+19;0.9958;0;scb+19;*;0;*;1.004218;0;scb+19;*;0;*;*;*;*;
820;J1427-4158;jbo+09;0.586485556229;1.8e-11;jbo+09;0.6212E-15;7.0e-19;jbo+09;1.70507182893;6.0e-11;jbo+09;-1.806E-15;3.0e-18;jbo+09;1.5e+07;6.11e+11;1.2e+32;
821;B1424-55;mlt+78;0.570292409826;4.0e-12;lbs+20;2.086574E-15;1.4e-20;lbs+20;1.75348642691;1.0e-11;lbs+20;-6.41562E-15;4.0e-20;lbs+20;4.33e+06;1.1e+12;4.4e+32;
822;J1429-5911;sdz+10;0.11584261008;3.0e-11;sdz+10;3.0500E-14;3.0e-18;sdz+10;8.632402182;2.0e-09;sdz+10;-2.2728E-12;2.0e-16;sdz+10;6.02e+04;1.9e+12;7.7e+35;
823;J1429-5935;mlc+01;0.76391483053;8.0e-11;mlc+01;4.2751E-14;9.0e-18;mlc+01;1.30904645391;1.2e-10;mlc+01;-7.3259E-14;1.4e-17;mlc+01;2.83e+05;5.78e+12;3.8e+33;
824;J1430-5712;ccb+20;0.491518803580;9.0e-12;ccb+20;46940.8E-18;1.6e-18;ccb+20;2.03451016058;4.0e-11;ccb+20;-1.94299E-13;7.0e-18;ccb+20;1.66e+05;4.86e+12;1.6e+34;
825;B1426-66;lvw68;0.7854433453623;7.0e-13;jbv+19;2.77752E-15;5.0e-20;jbv+19;1.273166302706;1.0e-12;jbv+19;-4.50222E-15;8.0e-20;jbv+19;4.48e+06;1.49e+12;2.3e+32;
826;J1431-4715;btb+15;0.0020119534425332;9.0e-16;btb+15;1.411E-20;3.0e-23;btb+15;497.0293938516;3.0e-10;btb+15;-3.486E-15;8.0e-18;btb+15;2.26e+09;1.7e+08;6.8e+34;
827;J1431-5740;bbb+13;0.0041105439567658;1.2e-15;bbb+13;6.42E-21;1.2e-22;bbb+13;243.27680485062;8.0e-11;bbb+13;-3.80E-16;8.0e-18;bbb+13;1.01e+10;1.64e+08;3.6e+33;
828;J1431-6328;kdl+19;0.00277229565;2.0e-11;kdl+19;*;0;*;360.711889;3.0e-06;kdl+19;*;0;*;*;*;*;
829;J1432-5032;kjv+10;2.0349894792;3.0e-10;bbb+12;5.924E-15;8.0e-18;bbb+12;0.49140303192;8.0e-11;bbb+12;-1.4305E-15;2.0e-18;bbb+12;5.44e+06;3.51e+12;2.8e+31;
830;J1433+00;dsm+16;*;0;*;*;0;*;*;0;*;*;0;*;*;*;*;
831;J1433-6038;kel+09;1.9544296353;5.0e-10;kel+09;5.63E-15;4.0e-17;kel+09;0.51165822598;1.4e-10;kel+09;-1.474E-15;1.1e-17;kel+09;5.5e+06;3.36e+12;3.0e+31;
832;J1434-5943;ccb+20;1.07212121207;3.0e-11;ccb+20;29.6E-18;1.8e-18;ccb+20;0.93273035618;3.0e-11;ccb+20;-2.58E-17;1.6e-18;ccb+20;5.74e+08;1.8e+11;9.5e+29;
833;J1434-6006;kbm+03;0.30636786268;4.0e-11;kbm+03;3.020E-15;1.7e-17;kbm+03;3.2640499276;5.0e-10;kbm+03;-3.218E-14;1.9e-16;kbm+03;1.61e+06;9.73e+11;4.1e+33;
834;J1434-6029;mlc+01;0.96334832315;1.6e-10;mlc+01;1.03E-15;8.0e-17;mlc+01;1.03804613136;1.7e-10;mlc+01;-1.11E-15;8.0e-17;mlc+01;1.48e+07;1.01e+12;4.5e+31;
835;J1434+7257;slr+14;0.04174114783993;3.0e-14;slr+14;5.50E-19;1.0e-21;slr+14;23.957175395244;1.8e-11;slr+14;-3.157E-16;6.0e-19;slr+14;1.2e+09;4.85e+09;3.0e+32;
836;J1435-5954;hfs+04;0.472996377203;9.0e-12;lbs+20;1.54793E-15;3.0e-20;lbs+20;2.11418109778;4.0e-11;lbs+20;-6.9189E-15;1.0e-19;lbs+20;4.84e+06;8.66e+11;5.8e+32;
837;J1435-6100;clm+01;0.009347972210248;7.0e-15;clm+01;2.45E-20;5.0e-22;clm+01;106.97507197376;8.0e-11;clm+01;-2.80E-16;5.0e-18;clm+01;6.05e+09;4.84e+08;1.2e+33;
838;J1437-5959;cng+09;0.0616961234035;9.0e-13;cng+09;8.5870E-15;5.0e-19;cng+09;16.2084738041;3.0e-10;cng+09;-2.25593E-12;1.4e-16;cng+09;1.14e+05;7.37e+11;1.4e+36;
839;J1437-6146;hfs+04;0.46761632345;7.0e-11;hfs+04;6.3304E-15;9.0e-19;hfs+04;2.1385053298;3.0e-10;hfs+04;-2.8950E-14;4.0e-18;hfs+04;1.17e+06;1.74e+12;2.4e+33;
840;J1439-5501;fsk+04;0.028634888190455;1.2e-14;lfl+06;1.418E-19;1.0e-21;lfl+06;34.922434246953;1.4e-11;lfl+06;-1.729E-16;1.2e-18;lfl+06;3.2e+09;2.04e+09;2.4e+32;
841;J1439+76;kkl+15;0.947903;2.0e-06;kkl+15;*;0;*;1.054960;3.0e-06;kkl+15;*;0;*;*;*;*;
842;B1436-63;mlt+78;0.459606723901;7.0e-12;jbv+19;1.1208E-15;5.0e-19;jbv+19;2.17577321653;3.0e-11;jbv+19;-5.306E-15;2.0e-18;jbv+19;6.5e+06;7.26e+11;4.6e+32;
843;J1441-6137;kbm+03;1.17584002290;1.0e-10;kbm+03;3.6E-16;5.0e-17;kbm+03;0.85045582777;8.0e-11;kbm+03;-2.6E-16;4.0e-17;kbm+03;5.18e+07;6.58e+11;8.7e+30;
844;J1443-5122;kjv+10;0.7320612647;5.0e-10;bbb+12;0.338E-15;9.0e-18;bbb+12;1.3660058908;1.0e-09;bbb+12;-6.31E-16;1.7e-17;bbb+12;3.43e+07;5.03e+11;3.4e+31;
845;J1444-5941;mlc+01;2.7602279448;6.0e-10;mlc+01;8.2E-15;3.0e-16;mlc+01;0.36228891961;7.0e-11;mlc+01;-1.08E-15;3.0e-17;mlc+01;5.31e+06;4.82e+12;1.5e+31;
846;J1444-6026;mll+06;4.7585755679;2.0e-10;mlk+09;18.542E-15;8.0e-18;mlk+09;0.210146920172;9.0e-12;mlk+09;-8.188E-16;4.0e-19;mlk+09;4.07e+06;9.51e+12;6.8e+30;
847;J1446-4701;kjb+12;0.00219469577985001;7.0e-17;nbb+14;9.8102E-21;2.0e-24;nbb+14;455.644016442381;1.3e-11;nbb+14;-2.0367E-15;4.0e-19;nbb+14;3.54e+09;1.48e+08;3.7e+34;
848;J1449-5846;kbm+03;0.463329577191;1.8e-11;kbm+03;8.6E-17;9.0e-18;kbm+03;2.15829087809;9.0e-11;kbm+03;-4.0E-16;5.0e-17;kbm+03;8.54e+07;2.02e+11;3.4e+31;
