#;NAME;;P0;;;P1;;;F0;;;F1;;;AGE;BSURF;EDOT;
;;;(s);;;;;;(Hz);;;(s^-2);;;(Yr);(G);(ergs/s);
30;J0024-7204X;fre08;0.00477152291069356;5.0e-17;rft+16;1.83610E-20;7.0e-25;rft+16;209.576694635350;2.0e-12;rft+16;-8.0646E-16;3.0e-20;rft+16;4.12e+09;3e+08;6.7e+33;
31;J0024-7204Y;frk+17;0.00219665714352123;5.0e-17;frk+17;-3.51721E-20;1.0e-24;frk+17;455.23717843241;1.0e-11;frk+17;7.2891E-15;2.0e-19;frk+17;*;*;*;
32;J0024-7204Z;frk+17;0.004554447383906;3.0e-15;frk+17;-4.54E-21;7.0e-23;frk+17;219.5656060346;1.0e-10;frk+17;0.219E-15;3.0e-18;frk+17;*;*;*;
33;J0026+6320;jml+09;0.31835777079;3.0e-11;sjm+19;1.506E-16;6.0e-19;sjm+19;3.1411201226;2.0e-10;sjm+19;-1.486e-15;5.0e-18;sjm+19;3.35e+07;2.22e+11;1.8e+32;
34;J0030+0451;lzb+00;0.0048654532112551;3.0e-16;abb+18;1.01743E-20;1.2e-24;abb+18;205.530699110769;9.0e-12;abb+18;-4.2979E-16;5.0e-20;abb+18;7.58e+09;2.25e+08;3.5e+33;
35;J0033+57;hrk+08;0.315;0;hrk+08;*;0;*;3.174603;0;hrk+08;*;0;*;*;*;*;
36;J0033+61;hrk+08;0.912;0;hrk+08;*;0;*;1.096491;0;hrk+08;*;0;*;*;*;*;
37;J0034-0534;bhl+94;0.0018771818845850;2.0e-16;aaa+10b;4.966E-21;1.0e-24;aaa+10b;532.71342974902;6.0e-11;aaa+10b;-1.4093E-15;3.0e-19;aaa+10b;5.99e+09;9.77e+07;3.0e+34;
38;B0031-07;lvw69a;0.9429509945598;1.7e-12;hlk+04;4.08210E-16;7.0e-21;hlk+04;1.0605004987209;1.9e-12;hlk+04;-4.59098E-16;7.0e-21;hlk+04;3.66e+07;6.28e+11;1.9e+31;
39;J0034+69;slr+14;0.03680412;1.6e-07;slr+14;*;0;*;27.17087;1.2e-04;slr+14;*;0;*;*;*;*;
40;J0038-2501;acd+19;0.2569264575329;1.7e-12;acd+19;0.0760E-17;6.0e-21;acd+19;3.89216435552;3.0e-11;acd+19;-1.151E-17;1.0e-19;acd+19;5.36e+09;1.41e+10;1.8e+30;
41;J0039+35;scb+19;0.5367;0;scb+19;*;0;*;1.863238;0;scb+19;*;0;*;*;*;*;
42;B0037+56;dtws85;1.1182253452412;1.3e-12;hlk+04;2.878973E-15;1.2e-20;hlk+04;0.8942741320036;1.0e-12;hlk+04;-2.302390E-15;9.0e-21;hlk+04;6.15e+06;1.82e+12;8.1e+31;
43;J0043-73;tsm+19;0.93742937;2.6e-07;tsm+19;*;0;*;1.0667470;3.0e-07;tsm+19;*;0;*;*;*;*;
44;J0045-7042;mfl+06;0.63233580002;6.0e-11;mfl+06;2.49E-15;3.0e-17;mfl+06;1.58143821680;1.6e-10;mfl+06;-6.23E-15;8.0e-17;mfl+06;4.02e+06;1.27e+12;3.9e+32;
